Territory,Level,District,Population,Income_per_capita,Salaries,Loans_vol,Loans_num,Debt_vol,Housing_completions,Primary_price,Secondary_price,Migration,Retail_per_capita,Retail
РОССИЙСКАЯ ФЕДЕРАЦИЯ,1,,146780720,35085,46285,922674,339553,1522604,75657.7,62891.94,58315.44,124854,215074,31579371.8
ЦЕНТРАЛЬНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,2,,39378059,46899,58059,360586,102240,617623,23434.5,81299.23,77276.45,183953,277011,10898929.2
Белгородская область,3,ЦФО,1547418,34609,34085,4330,1779,6600,1215.5,56978.95,44215.41,4123,217059,336148.5
Брянская область,3,ЦФО,1200187,29513,29844,5655,2659,9498,403.1,36548.52,33875.55,-3651,209987,253157.2
Владимирская область,3,ЦФО,1365805,25917,32206,5855,2680,10109,652.8,35309.93,42954.05,-3259,164519,225731.2
Воронежская область,3,ЦФО,2327821,32574,33366,11664,6187,17044,1691.1,48379.91,45609.13,6863,236953,552288.4
Ивановская область,3,ЦФО,1004180,24831,27191,3127,1310,5504,369.1,38511.64,39585.73,-3357,163290,164827.4
Калужская область,3,ЦФО,1009380,31150,41119,7289,3047,12603,787.2,51006.22,53036.81,1936,194987,197086.7
Костромская область,3,ЦФО,637267,24698,30395,2180,1083,3689,196.9,37634.45,39691.38,-2777,159014,101815.8
Курская область,3,ЦФО,1107041,29100,32831,4060,1798,5672,594.8,41971.04,41709.05,-1296,191945,213277.6
Липецкая область,3,ЦФО,1144035,33207,33478,4213,1855,6853,903.0,43324.20,42966.85,-409,223731,256645.4
Московская область,3,ЦФО,7599647,46426,54006,94626,24836,169229,8866.6,88683.23,75301.51,105479,311893,2355264.1
Орловская область,3,ЦФО,739467,26098,29341,4229,2231,5700,290.1,39589.69,39745.05,-2715,177758,132137.4
Рязанская область,3,ЦФО,1114137,26332,33192,8334,4111,14331,777.5,42307.67,44036.21,-425,172854,193216.7
Смоленская область,3,ЦФО,942363,26516,31078,4243,1818,7061,359.7,39235.39,33304.44,-147,179437,169721.9
Тамбовская область,3,ЦФО,1015966,28120,28932,3856,1690,6241,858.9,37404.82,35200.80,-9917,195612,200455.6
Тверская область,3,ЦФО,1269636,27584,33168,6314,2553,10739,424.9,47171.11,47803.29,-4348,175212,223702
Тульская область,3,ЦФО,1478818,28508,36757,7483,3014,13699,734.8,53515.75,53390.54,-1306,194778,289310.7
Ярославская область,3,ЦФО,1259612,27171,34934,5309,2401,8314,767.5,53199.01,49951.13,396,186662,235688.6
г. Москва,3,ЦФО,12615279,74341,88657,177819,37188,304736,3541.2,198230.93,188992.30,98763,382016,4798454
СЕВЕРО-ЗАПАДНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,2,,13972070,35896,51277,153518,57357,251709,9472.7,85161.50,62105.69,50657,222891,3112019.2
Республика Карелия,3,СЗФО,618056,29799,42188,3860,1826,5819,271.0,51828.20,47730.39,-1320,196389,121814.1
Республика Коми,3,СЗФО,830235,30947,50417,5875,2540,9007,290.2,49520.83,55035.01,-9276,184993,154571.4
Архангельская область,3,СЗФО,1144119,35227,50593,8301,3544,12652,322.6,62682.59,62367.64,-7093,229576,263914.7
в том числе Ненецкий автономный округ,4,,43829,80950,80562,305,110,465,18.5,,62560.54,-392,220864,9698.8
Архангельская область без данных по Ненецкому автономному округу,5,СЗФО,1100290,33406,48101,7994,3434,12188,304.0,62682.59,62364.16,-6701,229922,254215.9
Вологодская область,3,СЗФО,1167713,28236,39160,5696,2973,7629,535.5,41895.38,38507.34,-4445,159085,186480.1
Калининградская область,3,СЗФО,1002187,28801,33843,6284,3340,9295,916.0,51742.55,53082.65,9467,170470,170195.8
Ленинградская область,3,СЗФО,1847867,33263,44719,18416,6874,33172,2640.6,59017.67,52063.05,43741,221479,405492
Мурманская область,3,СЗФО,748056,37403,62517,5696,2118,9554,46.3,,49738.95,-4402,225992,169676.6
Новгородская область,3,СЗФО,600296,25603,31168,2991,1347,4738,264.4,44834.99,39541.37,-1932,191135,115328
Псковская область,3,СЗФО,629651,25690,28800,2537,1201,4406,235.9,38845.80,37807.52,-1859,177129,112140.5
г. Санкт-Петербург,3,СЗФО,5383890,43519,61141,93859,31594,155438,3950.3,115686.53,105091.33,27776,263120,1412406
ЮЖНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,2,,16454550,31858,33959,66358,32583,113772,9067.3,52592.91,55148.12,49745,200035,3290219.3
Республика Адыгея (Адыгея),3,ЮФО,454744,29642,29504,1011,547,2100,187.0,39047.61,43375.96,2472,209586,95164.4
Республика Калмыкия,3,ЮФО,272647,18187,27730,1925,618,3205,90.4,29520.20,36380.70,-3164,77850,21333.1
Республика Крым,3,ЮФО,1911818,23614,32565,2737,1168,4062,774.9,65420.20,56576.20,4781,133940,256198
Краснодарский край,3,ЮФО,5648235,40176,35334,27235,14336,48352,4414.9,51935.13,58034.76,47570,243186,1368124.7
Астраханская область,3,ЮФО,1014065,24590,35563,3071,1185,5021,328.3,46556.16,39333.44,-3496,170710,173405.1
Волгоградская область,3,ЮФО,2507509,24207,32720,9740,4282,15411,610.2,45430.24,41378.23,-3767,154934,389565
Ростовская область,3,ЮФО,4202320,31823,33716,19816,10090,34356,2347.4,51568.97,53859.98,-2390,218637,920765.6
г. Севастополь,3,ЮФО,443212,32333,33891,819,357,1266,314.3,67596.66,72103.85,7739,149255,65663.4
СЕВЕРО-КАВКАЗСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,2,,9866748,24842,29140,14185,5923,25637,3557.3,38225.71,42715.24,-25186,157306,1548699.7
Республика Дагестан,3,СКФО,3086126,28806,26645,2625,820,4502,976.0,34215.49,47513.93,-11008,183878,565425
Республика Ингушетия,3,СКФО,497393,16484,27214,147,47,355,235.7,39586.67,32780.50,2850,51027,25141.9
Кабардино-Балкарская Республика,3,СКФО,866219,21831,27597,1350,492,2639,435.7,22782.80,30439.58,-3368,147246,127518.3
Карачаево-Черкесская Республика,3,СКФО,465563,19302,26705,459,183,891,174.8,38728.15,42602.43,-1559,82339,38364.5
Республика Северная Осетия - Алания,3,СКФО,699253,24418,28588,1648,677,3133,209.9,37445.79,46301.17,-4512,163733,114696.7
Чеченская Республика,3,СКФО,1456951,24315,29397,355,101,664,600.3,46468.30,44953.47,-3558,115781,167530.5
Ставропольский край,3,СКФО,2795243,24189,31397,7598,3603,13453,924.9,40472.26,41502.72,-4031,182284,510022.8
ПРИВОЛЖСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,2,,29397213,28039,34556,144378,67162,225256,15222.8,50918.76,50171.25,-65987,188001,5540392.1
Республика Башкортостан,3,ПФО,4051005,32035,36267,24757,11427,40595,2290.0,61543.68,58213.65,-8858,216774,879483.7
Республика Марий Эл,3,ПФО,680380,20610,29829,3123,1710,4421,336.7,38177.58,37346.65,-699,127087,86591.6
Республика Мордовия,3,ПФО,795504,19913,28739,3647,1458,6420,333.6,41573.30,39660.29,-5481,114694,91787
Республика Татарстан (Татарстан),3,ПФО,3898628,35239,38289,24393,10201,36126,2409.9,67004.10,71274.40,2737,235335,916973.5
Удмуртская Республика,3,ПФО,1507390,25066,34141,7684,3924,10804,717.1,52166.42,47582.45,-3998,154640,233540.7
Чувашская Республика - Чувашия,3,ПФО,1223395,19632,29859,10132,5074,14971,597.5,43819.73,38087.00,-5325,124480,152769
Пермский край,3,ПФО,2610800,29593,37986,14414,6692,22645,1081.2,49140.44,57236.12,-6508,205335,537352.6
Кировская область,3,ПФО,1272109,23596,29574,5387,2843,7959,552.6,44775.01,40038.01,-4705,153012,195499.7
Нижегородская область,3,ПФО,3214623,33222,35876,12135,4963,19865,1351.1,62177.49,65038.55,-3731,229162,738975.8
Оренбургская область,3,ПФО,1963007,24727,32069,8145,4427,11272,911.5,38903.89,40980.94,-10294,156289,307946
Пензенская область,3,ПФО,1318103,22361,32265,5952,2850,9797,662.8,46140.36,41580.46,-5818,155710,206297.4
Самарская область,3,ПФО,3183038,28472,35896,12862,6124,20457,1782.2,46444.63,47034.48,-407,203369,648396.3
Саратовская область,3,ПФО,2440815,21966,30213,7114,3067,11279,1215.6,40259.25,38292.70,-10348,145738,357332.5
Ульяновская область,3,ПФО,1238416,23508,30511,4637,2402,8646,981.1,42725.19,43484.68,-2552,150860,187446.3
УРАЛЬСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,2,,12350122,36242,47858,73227,29292,108042,5964.5,57149.89,59294.56,-6217,219098,2706558.5
Курганская область,3,УФО,834701,20583,30033,2215,1091,2913,231.5,45119.79,35920.73,-6488,136191,114416.9
Свердловская область,3,УФО,4315699,38996,41155,27880,11035,38827,2088.2,65299.73,65043.20,-1300,261708,1130702
Тюменская область,3,УФО,3723969,47022,64493,32198,11799,51922,2120.4,54446.03,51684.36,10524,254256,942830.1
в том числе Ханты-Мансийский автономный округ - Югра,4,,1663795,51639,65040,14093,4831,24574,586.0,52271.48,60751.60,-3424,253455,420592
в том числе Ямало-Ненецкий автономный округ,4,,541479,79648,89778,7804,2460,12268,186.0,68547.03,54702.78,-1735,256402,138460.3
Тюменская область без данных по Ханты-Мансийскому автономному округу - Югре и Ямало-Ненецкому автономному округу,5,УФО,1518695,30331,44906,10302,4508,15080,1348.4,54756.10,49150.35,15683,254370,383777.9
Челябинская область,3,УФО,3475753,25033,36471,10935,5367,14379,1524.4,41713.90,35204.59,-8953,148838,518609.5
СИБИРСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,2,,17173335,25832,40559,71477,31490,113935,6649.0,51936.64,50437.04,-28966,159223,2738913.7
Республика Алтай,3,СФО,218866,19616,32500,269,121,413,108.3,44997.64,43716.16,-343,118964,25989.4
Республика Тыва,3,СФО,983273,14776,43127,369,127,586,93.1,,60569.28,-980,73214,23653.4
Республика Хакасия,3,СФО,324423,22286,40074,1484,707,2334,188.2,43435.58,44084.72,-896,156273,83893.5
Алтайский край,3,СФО,536167,23365,27886,8021,4322,11684,786.1,47102.58,46868.43,-7411,150444,352257.4
Красноярский край,3,СФО,2332813,29807,48445,16720,7062,29490,1148.5,56825.18,48102.79,-278,187102,537966.9
Иркутская область,3,СФО,1065785,23897,45892,8436,3739,13732,987.5,58441.66,46476.89,-5910,144951,348024.9
Кемеровская область - Кузбасс,3,СФО,2874026,23134,41184,8659,4115,12763,639.8,48415.37,41226.93,-8413,140292,376622
Новосибирская область,3,СФО,2397763,29208,38237,20149,8643,32093,1738.4,56312.96,56796.27,8030,179643,501403.3
Омская область,3,СФО,2674256,26555,35616,5257,1952,7663,522.3,42067.30,43376.53,-12102,169335,330565.4
Томская область,3,СФО,2793384,27879,42354,2112,702,3177,436.9,57221.39,48618.81,-663,147085,158537.5
ДАЛЬНЕВОСТОЧНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,2,,1944195,36893,55651,38948,13506,66630,2269.4,71456.82,73818.36,-33145,212494,1743640.1
Республика Бурятия,3,ДФО,1077442,24892,39985,2516,1128,4332,247.8,46177.18,50984.91,-4577,180022,177121.9
Республика Саха (Якутия),3,ДФО,8188623,42832,71688,9764,3262,20430,530.1,80192.67,80730.15,-2940,236872,228740.2
Забайкальский край,3,ДФО,967009,24792,44399,2903,1124,4269,186.5,60434.01,53515.88,-7421,154257,164946.5
Камчатский край,3,ДФО,314723,51653,74842,2135,744,3361,35.5,66721.41,63723.35,-702,181491,57195.1
Приморский край,3,ДФО,1902718,35911,45372,7955,2685,11911,538.2,90049.46,97552.46,-4654,212958,406297.1
Хабаровский край,3,ДФО,1321473,40429,48887,5651,1941,9676,273.8,69049.70,70606.06,-4931,244591,324055.1
Амурская область,3,ДФО,793194,33305,48057,2099,765,3196,158.7,60594.71,61662.80,-3392,214688,170850.7
Магаданская область,3,ДФО,141234,65037,106395,1586,504,2476,4.3,,46784.85,-2663,226312,32286.4
Сахалинская область,3,ДФО,489638,57347,84666,3638,1122,5791,264.8,105876.66,107512.97,-324,303112,148497.4
Еврейская автономная область,3,ДФО,159913,24250,41528,203,78,367,27.8,40492.13,38202.83,-1778,149572,24075.7
Чукотский автономный округ,3,ДФО,49663,84927,106922,498,153,821,1.8,,,237,193391,9573.8